ID,Type,Artikelnummer,Naam,Gepubliceerd,Uitgelicht?,"Zichtbaarheid in catalogus","Korte beschrijving",Beschrijving,"Startdatum actieprijs","Einddatum actieprijs","Btw status",Belastingklasse,"Op voorraad?",Voorraad,"Lage voorraad","Nabestellingen toestaan?","Wordt individueel verkocht?","Gewicht (kg)","Lengte (cm)","Breedte (cm)","Hoogte (cm)","Klantbeoordelingen toestaan?",Aankoopnotitie,Actieprijs,"Reguliere prijs",Categorieën,Tags,Verzendklasse,Afbeeldingen,Downloadlimiet,"Dagen vervaltijd download",Hoofd,"Gegroepeerde producten",Upsells,Cross-sells,"Externe URL","Knop tekst",Positie
10361,simple,,"CAYKUR TOMURCUK 125G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/TOMURCUK.jpg,,,,,,,,,0
10363,simple,,"Argeta KIP 95g",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/ARGETA-KIP.jpg,,,,,,,,,0
10366,simple,,"CAYKUR FILIZ 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/CAYKUR-FILIZ500G.webp,,,,,,,,,0
10368,simple,,"DO GHAZAL TEA GREEN ZAKJES",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"5,49","Alle producten, Verse kruiden",,,,,,,,,,,,0
10370,simple,,"CAYKUR ALTIN SUZEN POSET 200G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"5,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/811mJRgP9zL._AC_SX679_.jpg,,,,,,,,,0
10372,simple,,"GREEN TEA AHMAD TEA 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"7,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/Ahmad-tea-500g-Green-Tea-5.jpg,,,,,,,,,0
10374,simple,,"CARDAMOM TEA AHMAD TEA 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"7,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/Ahmad-tea-Cardamom-500g.jpg,,,,,,,,,0
10377,simple,,"Argeta HALAL 95g - kippastei",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/KIP-HALAL-ARGETA.jpg,,,,,,,,,0
10380,simple,,"SPECIAL BLEND AHMAD TEA 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"7,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/ahmad-tea-ahmad-tea-special-blend-500gr.webp,,,,,,,,,0
10383,simple,,"Argeta ORIENTAL 95g - Halal",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/HALAL-ORIETNAL.jpg,,,,,,,,,0
10384,simple,,"AHMED TEA CARDEMOM TEA ZAKJES",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"5,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/ahmad-tea-ahmad-cardemom-thee-100-zakjes.webp,,,,,,,,,0
10386,simple,,"POLI PATE 95G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/Poli-poate-classic.png,,,,,,,,,0
10388,simple,,"AHMAD TEA SPECIAL BLEND ZAKJES",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"5,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/550x608.jpg,,,,,,,,,0
10390,simple,,"Argeta picante TONIJN 95g",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/THUNFISCH.jpg,,,,,,,,,0
